Q1_Preferred_Study_Mode,Q2_Textbook_Type_Used,Q3_Prior_Open_Textbook_Experience,Q4_Clear_Explanations,Q4_Understanding_Difficult_Topics,Q4_Useful_Examples,Q4_Overall_Success_Contribution,Q5_Textbook_Usage_Frequency,Q6_Textbook_Effectiveness_Assignments_Studying,Q7_Engagement_Text_Readability,Q7_Engagement_Visual_Design,Q7_Engagement_Navigation_Ease,Q8_Textbook_Enhancement_Course_Connection,Q9_Textbook_Contribution_Retention,Q10_Used_Interactive_Features,Q11_Interactive_Feature_Usage_Frequency,Q12_Interactive_Feature_Usefulness,Q13_Effectiveness_Understanding,Q13_Effectiveness_Retention,Q13_Effectiveness_ApplyingConcepts,Q13_Effectiveness_Reviewing,Q13_Effectiveness_Other,Q15_Textbook_Accessibility,Q16_Textbook_Preference_Future,Q17_Textbook_Distracting,Q18overall_textbook_satisfaction
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Agree,Weekly,Not at all effective,Disengaging,Engaging,Disengaging,Moderately,Very much,No,,,Moderately Effective,Moderately Effective,Moderately Effective,Slightly Effective,Slightly Effective,Very Accessible,Traditional print textbook,Moderately Distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Agree,Rarely,Very effective,Engaging,Engaging,Neutral,Very much,Very much,Yes,Frequently,Moderately useful,Moderately Effective,Moderately Effective,Slightly Effective,Very Effective,Moderately Effective,Moderately Accessible,Open online textbook,Not at all distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Neutral,Weekly,Somewhat effective,Neutral,Very Engaging,Neutral,Moderately,Moderately,Yes,Frequently,Very useful,Moderately Effective,Moderately Effective,Moderately Effective,Very Effective,,Extremely Accessible,Open online textbook,Not at all distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Strongly Agree,Agree,Strongly Agree,Agree,Weekly,Somewhat effective,Engaging,Engaging,Disengaging,Very much,Moderately,Yes,Rarely,Moderately useful,Very Effective,Moderately Effective,Moderately Effective,Moderately Effective,,Extremely Accessible,Open online textbook,Not at all distracting,Very Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Strongly Agree,Agree,Weekly,Somewhat effective,Very Engaging,Engaging,Engaging,Very much,Very much,Yes,Ocassionally,Very useful,Very Effective,Very Effective,Moderately Effective,Very Effective,Very Effective,Extremely Accessible,Both,Moderately Distracting,Very Satisfied
A mix of both,"Traditional print textbook (physical, purchased or rented)",Yes,Agree,Agree,Strongly Agree,Neutral,A few times a week,Somewhat effective,Engaging,Neutral,Neutral,Moderately,Very much,No,,,Very Effective,Moderately Effective,Moderately Effective,Very Effective,,Extremely Accessible,Both,Slightly Distracting,Very Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Neutral,Agree,Neutral,A few times a week,Somewhat effective,Very Engaging,Engaging,Neutral,Very much,Moderately,Yes,Ocassionally,Moderately useful,Moderately Effective,Very Effective,Very Effective,Moderately Effective,,Very Accessible,Both,Slightly Distracting,Very Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Neutral,Agree,Neutral,Rarely,Somewhat effective,,Engaging,Engaging,Moderately,Slightly,No,,,Moderately Effective,Moderately Effective,Moderately Effective,Very Effective,,Very Accessible,No preference,Not at all distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Neutral,Neutral,Agree,Neutral,Weekly,Somewhat effective,Neutral,Engaging,Disengaging,Moderately,Moderately,Yes,Ocassionally,Moderately useful,Moderately Effective,Slightly Effective,Slightly Effective,Moderately Effective,Slightly Effective,Moderately Accessible,Both,Slightly Distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Neutral,Agree,Neutral,Weekly,Somewhat effective,Neutral,Engaging,Neutral,Moderately,Moderately,Yes,Ocassionally,Moderately useful,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,Very Accessible,Both,Slightly Distracting,Moderately Satisfied
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",Yes,Neutral,Agree,Neutral,Neutral,Rarely,Somewhat effective,Engaging,Neutral,Neutral,Moderately,Slightly,No,,,Slightly Effective,Very Effective,Moderately Effective,Moderately Effective,Very Effective,Slightly Accessible,Traditional print textbook,,Slightly Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",Yes,Disagree,Neutral,Agree,Neutral,Rarely,Somewhat effective,Neutral,Engaging,Engaging,Moderately,Very much,Yes,Ocassionally,Moderately useful,Moderately Effective,Slightly Effective,Slightly Effective,Slightly Effective,Slightly Effective,Extremely Accessible,Open online textbook,Not at all distracting,Moderately Satisfied
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",Yes,Agree,Agree,Strongly Agree,Agree,Rarely,Somewhat effective,Neutral,Neutral,Neutral,Moderately,Moderately,No,,,Moderately Effective,Moderately Effective,Moderately Effective,Very Effective,,Very Accessible,Traditional print textbook,Moderately Distracting,Moderately Satisfied
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",Yes,Agree,Neutral,Agree,Neutral,Rarely,Somewhat effective,Engaging,Neutral,Disengaging,Moderately,Moderately,No,,,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,,Very Accessible,Traditional print textbook,Not at all distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Weekly,Very effective,Engaging,Engaging,Engaging,Very much,Very much,No,,,Very Effective,Very Effective,Very Effective,Very Effective,Very Effective,Very Accessible,Both,Slightly Distracting,Very Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Neutral,Weekly,Somewhat effective,Engaging,Neutral,Disengaging,Moderately,Slightly,No,,,Moderately Effective,Slightly Effective,Moderately Effective,Moderately Effective,,Very Accessible,Both,Not at all distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Neutral,Neutral,Disagree,Rarely,Somewhat effective,Engaging,Engaging,Very Disengaging,Slightly,Slightly,Yes,Ocassionally,Moderately useful,Slightly Effective,Slightly Effective,Moderately Effective,Slightly Effective,,Very Accessible,Open online textbook,Not at all distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Neutral,Agree,Neutral,A few times a week,Somewhat effective,Engaging,Very Engaging,Neutral,Moderately,Moderately,Yes,Ocassionally,Very useful,Very Effective,Moderately Effective,Very Effective,Moderately Effective,,Extremely Accessible,Both,Not at all distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Strongly Agree,Neutral,Rarely,Somewhat effective,Disengaging,Neutral,Disengaging,Very much,Moderately,Yes,Frequently,Extremely useful,Very Effective,Moderately Effective,Very Effective,Moderately Effective,Moderately Effective,Extremely Accessible,No preference,Not at all distracting,Very Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Strongly Agree,Agree,Weekly,Somewhat effective,Engaging,Engaging,Neutral,Very much,Very much,Yes,Frequently,Very useful,Very Effective,Very Effective,Very Effective,Moderately Effective,Very Effective,Very Accessible,Open online textbook,Slightly Distracting,Very Satisfied
A mix of both,"Open online textbook (digital, free access)",No,Strongly Agree,Agree,Agree,Agree,Weekly,Somewhat effective,Neutral,Engaging,Neutral,Moderately,Moderately,Yes,Frequently,Very useful,Moderately Effective,Moderately Effective,Moderately Effective,Very Effective,Very Effective,Extremely Accessible,Open online textbook,Slightly Distracting,Very Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",No,Neutral,Neutral,Agree,Neutral,A few times a week,Somewhat effective,Disengaging,Disengaging,Very Disengaging,Moderately,Moderately,Yes,Ocassionally,Very useful,Very Effective,Moderately Effective,Slightly Effective,Moderately Effective,Moderately Effective,Very Accessible,Both,Very Distracting,Very Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Neutral,Weekly,Somewhat effective,Neutral,Neutral,Engaging,Moderately,Slightly,No,,,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,,Very Accessible,Open online textbook,Not at all distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Agree,Agree,Agree,Neutral,A few times a week,Somewhat effective,Engaging,Neutral,Engaging,Very much,Moderately,No,,,Moderately Effective,Moderately Effective,Very Effective,Very Effective,Very Effective,Moderately Accessible,Both,Very Distracting,Moderately Satisfied
"Reading online (e.g., using digital textbooks, PDFs, free acess or websites)","Open online textbook (digital, free access)",No,Agree,Agree,Agree,Agree,Weekly,Not at all effective,Engaging,Engaging,Very Engaging,Moderately,Moderately,Yes,Ocassionally,Very useful,Moderately Effective,Slightly Effective,Slightly Effective,Not Effective,,Extremely Accessible,Open online textbook,Not at all distracting,Moderately Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Neutral,Neutral,Neutral,Neutral,Never,Somewhat effective,Neutral,Neutral,Neutral,Moderately,Slightly,No,,,Moderately Effective,Moderately Effective,Moderately Effective,Moderately Effective,,Very Accessible,Both,Slightly Distracting,Moderately Satisfied
"Reading print materials (e.g., physical textbooks or notes)","Open online textbook (digital, free access)",Yes,Neutral,Neutral,Neutral,Neutral,Never,Somewhat effective,Neutral,Neutral,Neutral,Not at all,Not at All,No,,,Slightly Effective,Slightly Effective,Slightly Effective,Slightly Effective,,Very Accessible,No preference,Not at all distracting,Slightly Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Disagree,Disagree,Neutral,Strongly Disagree,Weekly,Somewhat effective,Disengaging,Neutral,Disengaging,Moderately,Not at All,No,,,Slightly Effective,Moderately Effective,Moderately Effective,Slightly Effective,,Moderately Accessible,Both,Slightly Distracting,Slightly Satisfied
A mix of both,"Open online textbook (digital, free access)",Yes,Neutral,Neutral,Neutral,Neutral,Rarely,,,,,,,,,,,,,,,,Both,,
A mix of both,"Open online textbook (digital, free access)",Yes,Neutral,Neutral,Neutral,Neutral,Never,Somewhat effective,Neutral,Neutral,,,,,,,,,,,,,,,
"Reading print materials (e.g., physical textbooks or notes)",,Yes,,,,,Never,,,,,,,No,,,,,,,,,No preference,,
A mix of both,"Open online textbook (digital, free access)",Yes,,,,,,,,,,,,,,,,,,,,,,,
